strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	mutational_fitness	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
NZL/20VR3494/2020	2020-06-20	1.00	20A	New Zealand		Auckland	20A	202025	OK426422	Homo sapiens	0.39	B.1.36	Older	Oceania		Ren et al L		Middlemore Hospital	Institute of Environmental Science and Research	
NZL/20CV0224/2020	2020-08-30	2.00	20A	New Zealand		Canterbury	20A	202036	OK426701	Homo sapiens	0.46	B.1.36.18	Older	Oceania		Ren et al M		Canterbury Health Laboratories	Institute of Environmental Science and Research	
NZL/20CV0221/2020	2020-08-30	2.00	20A	New Zealand		Canterbury	20A	202036	OK426722	Homo sapiens	0.46	B.1.36.18	Older	Oceania		Ren et al N		Canterbury Health Laboratories	Institute of Environmental Science and Research	
NZL/20CV0332/2020	2020-09-08	2.00	20A	New Zealand		Canterbury	20A	202037	OK427120	Homo sapiens	0.46	B.1.36.18	Older	Oceania		Ren et al O		Canterbury Health Laboratories	Institute of Environmental Science and Research	
NZL/20CV0362/2020	2020-09-21	2.00	20A	New Zealand		Canterbury	20A	202039	OK427026	Homo sapiens	0.46	B.1.36.18	Older	Oceania		Ren et al P		LabPLUS	Institute of Environmental Science and Research	
Switzerland/AG-ETHZ-481641/2021	2021-02-03	3.00	20A	Switzerland		Aargau	20A	202105	OD998244	Homo sapiens	0.49	B.1.36.35	Older	Europe		? C		Computational evolution group,Mattenstrasse 26, Basel	ETH ZURICH D-BSSE	
NZL/20CV0527/2020	2020-11-08	2.00	20A	New Zealand		Wellington	20A	202046	OK426860	Homo sapiens	0.39	B.1.36	Older	Oceania		Ren et al Q		Wellington SCL (WN)	Institute of Environmental Science and Research	
NZL/20CV0563/2020	2020-11-18	2.00	20A	New Zealand		Wellington	20A	202047	OK426474	Homo sapiens	0.39	B.1.36	Older	Oceania		Ren et al R		Wellington SCL (WN)	Institute of Environmental Science and Research	
NZL/20CV0556/2020	2020-11-11	2.00	20A	New Zealand		Capital And Coast	20A	202046	OK426592	Homo sapiens	0.39	B.1.36	Older	Oceania		Ren et al S		Wellington SCL (WN)	Institute of Environmental Science and Research	
OV089970	2020-07-29	1.00	20A	Saudi Arabia		Riyadh	20A	202031	OV089970	Homo sapiens	0.38	B.1.36.10	Older	Asia		Naeem et al C		King Abdullah University of Science and Technology (KAUST)	King Abdullah University of Science and Technology	
OV090752	2020-08-11	1.00	20A	Saudi Arabia		Riyadh	20A	202033	OV090752	Homo sapiens	0.42	B.1.36.10	Older	Asia		Naeem et al D		King Abdullah University of Science and Technology (KAUST)	King Abdullah University of Science and Technology	
PAK/JRCGR-KHI27/2020	2020-06-02	1.00	20A	Pakistan		Sindh	20A	202023	MW447615	Homo sapiens	0.39	B.1.36	Older	Asia		Shakeel et al B				
PAK/JRCGR_SCV-69/2020	2020-11-21	1.00	20A	Pakistan		Sindh	20A	202047	MW960291	Homo sapiens	0.44	B.1.36	Older	Asia		Irfan et al B				
IND/GBRC528/2020	2020-12-12	2.00	20A	India		India	20A	202050	MZ268850	Homo sapiens	0.42	B.1.36.8	Older	Asia		Raval et al				
MYS/NCOV27754/2020	2020-11-28	1.00	20A	Malaysia		Malaysia	20A	202048	OK594612	Homo sapiens	0.48	B.1.36.16	Older	Asia		Chan et al A				
MMR/DSMRC_004/2021	2021-01-09	1.00	20A	Myanmar		Myanmar	20A	202101	MW491245	Homo sapiens	0.48	B.1.36.16	Older	Asia		Oo et al A				
EGY/EGY-141/2020	2020-08-29	1.00	20A	Egypt		Egypt	20A	202035	MT994981	Homo sapiens	0.15	B.1	Older	Africa		Seadawy et al C				
IND/GBRC214a/2020	2020-06-11	2.00	20A	India		Gujarat	20A	202024	MT664727	Homo sapiens	0.35	B.1.113	Older	Asia		Gamit et al		Department of MicroBiology, Government Medical College, Surat	Gujarat Biotechnology Research Centre	
CHL/Santiago-PUC_MVL_0044/2020	2020-03-28	1.00	20A	Chile		Chile	20A	202013	MW365171	Homo sapiens	0.32	B.1.110	Older	South America		Direct Submission et al A				
CHL/Curico-PUC_MVL_0179/2020	2020-04-15	1.00	20A	Chile		Chile	20A	202016	MW365477	Homo sapiens	0.32	B.1.110	Older	South America		Direct Submission et al B				
CHL/Santiago-PUC_MVL_0036/2020	2020-03-27	1.00	20A	Chile		Chile	20A	202013	MW365202	Homo sapiens	0.32	B.1.110	Older	South America		Direct Submission et al C				
VEN/3NE/2020	2020-04-10	1.00	20C	Venezuela		Venezuela	20C	202015	MT907516	Homo sapiens	0.31	B.1	Older	South America		Loureiro et al C				
Netherlands/Gelderland_105/2020	2020-05-21	1.00	20C	Netherlands		Netherlands	20C	202021	LR883087	Homo sapiens	0.31	B.1.22	Older	Europe		Oude Munnink et al A			ERASMUS MC, UNIVERISTY MEDICAL CENTER	
USA/ND-NDDH-0013/2020	2020-05-01	2.00	20C	USA		North Dakota	20C	202018	MW471395	Homo sapiens	0.31	B.1	Older	North America		Wingerter et al A				
USA/PR-CDC-S18/2020	2020-04-01	1.00	20C	USA		Puerto Rico	20C	202014	MT419821	Homo sapiens	0.32	B.1	Older	North America		Santiago et al				
USA/MN-MDH-1612/2020	2020-04-26	1.00	20C	USA		Minnesota	20C	202018	MT997730	Homo sapiens	0.29	B.1.330	Older	North America		Plumb et al A				
NZL/20CV0325/2020	2020-04-02	2.00	20C	New Zealand		Midcentral	20C	202014	OK427122	Homo sapiens	0.32	B.1	Older	Oceania		Ren et al T		Canterbury Health Laboratories	Institute of Environmental Science and Research	
RUS/1150/2020	2020-04-13	1.00	20C	Russia		Saratov	20C	202016	MW332225	Homo sapiens	0.31	B.1	Older	Europe		Krasnov et al A				
BEN/260/2020	2020-03-17	2.00	20C	Benin		Benin	20C	202012	MT653072	Homo sapiens	0.36	B.1	Older	Africa		Sander et al A				
Belize/UN-CDC-3595772-001/2020	2020-04-09	2.00	20C	Belize		Belize	20C	202015	MT844027	Homo sapiens	0.35	B.1	Older	North America		Zhang et al				
Switzerland/VD-CHUV-GEN2957/2020	2020-03-17	1.00	20C	Switzerland		Vaud	20C	202012	OU576005	Homo sapiens	0.35	B.1	Older	Europe		? D		Polyanalytic SA, CH-1004 Lausanne, Switzerland	laboratory of genomics and metagenomics, institute of microbiology, university hospital centre and university of lausanne, switzerland	
DJI/NAMRU3_008/2020	2020-06-15	1.00	20C	Djibouti		Djibouti	20C	202025	MZ970716	Homo sapiens	0.34	B.1.324	Older	Africa		Arnold et al E				
USA/AZ-1115/2020	2020-06-11	2.00	20C	USA		Arizona	20C	202024	MZ433840	Homo sapiens	0.34	B.1.289	Older	North America		Huynh et al				
TUN/COV1482/2020	2020-03-31	1.00	20C	Tunisia		Tunisia	20C	202014	MT499220	Homo sapiens	0.31	B.1	Older	Africa		Fares et al				
CHL/Santiago-PUC_MVL_0254/2020	2020-04-30	1.00	20C	Chile		Chile	20C	202018	MW365099	Homo sapiens	0.32	B.1	Older	South America		Direct Submission et al D				
USA/NH-CDC-03065707-001/2020	2020-02-29	1.00	20C	USA		New Hampshire	20C	202009	MT304484	Homo sapiens	0.28	B.1.356	Older	North America		Queen et al B				
BEN/1409/2020	2020-04-06	1.00	20C	Benin		Benin	20C	202015	MT653077	Homo sapiens	0.28	B.1.356	Older	Africa		Sander et al B				
AUS/NT06/2020	2020-03-19	1.00	20C	Australia		Northern Territory	20C	202012	MT641653	Homo sapiens	0.31	B.1.434	Older	Oceania		Caly et al I		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
USA/MA-MGH-00954/2020	2020-05-02	1.00	20C	USA		New Hampshire	20C	202018	MT873210	Homo sapiens	0.35	B.1.268	Older	North America		Lemieux et al A		Massachusetts Department of Public Health		
KOR/YS006/2020	2020-06-04	1.00	20C	South Korea		Seoul	20C	202023	MW345824	Homo sapiens	0.43	B.1.497	Older	Asia		Kim et al E		Division of Infectious Diseases, Department of Internal Medicine, Yonsei University College of Medicine	Yonsei University	
USA/WI-UW-1053/2020	2020-07-30	2.00	20C	USA		Wisconsin	20C	202031	MT929006	Homo sapiens	0.32	B.1.3	Older	North America		Moreno et al				
USA/SC-QDX-3350/2020	2020-08-29	1.00	20C	USA		South Carolina	20C	202035	MW522483	Homo sapiens	0.35	B.1.509	Older	North America		Rosenthal et al D				
SLE/SL01/2020	2020-12-08	1.00	20C	Sierra Leone		Sierra Leone	20C	202050	MZ411524	Homo sapiens	0.57	B.1.509	Older	Africa		Wurie et al B				
BRA/RJ01/2020	2020-03-23	1.00	20C	Brazil		Brazil	20C	202013	MT710714	Homo sapiens	0.31	B.1	Older	South America		Souza et al A				
BRA/RJ-DCVN1/2020	2020-03-23	1.00	20C	Brazil		Brazil	20C	202013	MT827202	Homo sapiens	0.31	B.1	Older	South America		Souza et al B				
ARG/Cordoba-1413/2020	2020-09-15	2.00	20C	Argentina		Argentina	20C	202038	MW633899	Homo sapiens	0.35	B.1.499	Older	South America		Castro et al A				
ARG/Cordoba-2932/2020	2020-09-13	2.00	20C	Argentina		Argentina	20C	202038	MW633895	Homo sapiens	0.43	B.1.499	Older	South America		Castro et al B				
ARG/Cordoba-920/2020	2020-09-14	1.00	20C	Argentina		Argentina	20C	202038	MW633894	Homo sapiens	0.35	B.1.499	Older	South America		Castro et al C				
ARG/Cordoba-891/2020	2020-09-14	1.00	20C	Argentina		Argentina	20C	202038	MW633900	Homo sapiens	0.35	B.1.499	Older	South America		Castro et al D				
USA/AK-PHL783/2020	2020-07-02	2.00	20C	USA		Alaska	20C	202027	MW173169	Homo sapiens	0.44	B.1.336	Older	North America		DeRonde et al A				
USA/MS-USAFSAM-S023/2020	2020-03-25	1.00	20C	USA		Mississippi	20C	202013	MT873890	Homo sapiens	0.32	B.1	Older	North America		Fries et al A		United States Air Force School of Aerospace Medicine	United States Air Force School of Aerospace Medicine	
USA/MA-MGH-01140/2020	2020-05-02	1.00	20C	USA		Massachusetts	20C	202018	MT873476	Homo sapiens	0.31	B.1	Older	North America		Lemieux et al B		Massachusetts Department of Public Health		
NZL/20CV0273/2020	2020-03-23	1.00	20C	New Zealand		Nelson Marlborough	20C	202013	OK427093	Homo sapiens	0.32	B.1	Older	Oceania		Ren et al U		Canterbury Health Laboratories	Institute of Environmental Science and Research	
NZL/20VR2931/2020	2020-04-25	1.00	20C	New Zealand		Auckland	20C	202017	OK426805	Homo sapiens	0.32	B.1	Older	Oceania		Ren et al V		LabPLUS	Institute of Environmental Science and Research	
NZL/20VR2917/2020	2020-04-25	1.00	20C	New Zealand		Auckland	20C	202017	OK426852	Homo sapiens	0.32	B.1	Older	Oceania		Ren et al W		LabPLUS	Institute of Environmental Science and Research	
USA/WI-QDX-440/2020	2020-03-20	1.00	20C	USA		Wisconsin	20C	202012	MW064558	Homo sapiens	0.33	B.1.595	Older	North America		Rosenthal et al E		Quest Diagnostics	Quest Diagnostics	
USA/MO-QDX-3471/2020	2020-08-28	2.00	20C	USA		Missouri	20C	202035	MW521724	Homo sapiens	0.37	B.1.591	Older	North America		Rosenthal et al F				
AUS/NT52/2020	2020-07-08	1.00	20C	Australia		Northern Territory	20C	202028	MT972100	Homo sapiens	0.34	B.1.595	Older	Oceania		Sait et al G		Royal Darwin Hospital Pathology	The Peter Doherty Institute for Infection and Immunity	
USA/CT-CDCBI-CRSP_RSNCY7EW3BY3ZPAX/2021	2021-04-19	2.00	20C	USA		Connecticut	20C	202116	MZ053480	Homo sapiens	0.43	B.1.577	Older	North America		Lemieux et al C		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	
USA/LA-QDX-4487/2020	2020-09-10	1.00	20C	USA		Louisiana	20C	202037	MW566515	Homo sapiens	0.42	B.1.595	Older	North America		Rosenthal et al G				
USA/AK-CDC-STM-000005026/2021	2021-01-22	2.00	20C	USA		Alaska	20C	202103	MW586420	Homo sapiens	0.45	B.1.595	Older	North America		Cook et al A				
USA/ME-CDC-QDX22441623/2021	2021-02-26	1.00	20C	USA		Maine	20C	202108	MW749449	Homo sapiens	0.47	B.1.596	Older	North America		Cook et al B				
TWN/CGMH-CGU-33/2020	2020-10-04	1.00	20G	Taiwan		Taiwan	20G	202041	MW356786	Homo sapiens	0.43	B.1.2	Older	Asia		Tsao et al E				
TWN/CGMH-CGU-43/2020	2020-12-21	2.00	20G	Taiwan		Taiwan	20G	202052	MZ020651	Homo sapiens	0.44	B.1.2	Older	Asia		Tsao et al F				
DJI/NAMRU3_D12/2020	2020-12-17	2.00	20G	Djibouti		Djibouti	20G	202051	MZ970749	Homo sapiens	0.53	B.1.2	Older	Africa		Arnold et al F				
USA/hCoV_19_USA_ID_IVREF_662223_2020/2020	2020-09-28	1.00	20G	USA		Idaho	20G	202040	OL467964	Homo sapiens	0.43	B.1.2	Older	North America		Beukelman et al A				
USA/hCoV_19_USA_ID_IVREF_688642_2020/2020	2020-12-03	2.00	20G	USA		Idaho	20G	202049	OL984206	Homo sapiens	0.41	B.1.2	One month ago	North America		Beukelman et al B				
USA/hCov_19_USA_ID_IVREF_674914_2020/2020	2020-10-29	2.00	20G	USA		Idaho	20G	202044	OL676313	Homo sapiens	0.41	B.1.2	Older	North America		Beukelman et al C				
NZL/21CV0048/2021	2021-01-07	2.00	20G	New Zealand		Canterbury	20G	202101	OK427068	Homo sapiens	0.41	B.1.2	Older	Oceania		Ren et al X		Canterbury Health Laboratories	Institute of Environmental Science and Research	
NZL/21CV0055/2021	2021-01-10	2.00	20G	New Zealand		Canterbury	20G	202102	OK426885	Homo sapiens	0.41	B.1.2	Older	Oceania		Ren et al Y		Canterbury Health Laboratories	Institute of Environmental Science and Research	
USA/MT-CDC-2-3714194/2020	2020-12-02	1.00	20G	USA		Montana	20G	202049	MW495961	Homo sapiens	0.44	B.1.2	Older	North America		Queen et al C				
USA/1561778/2021	2021-01-23	3.00	20G	USA		Iowa	20G	202103	MZ327272	Homo sapiens	0.48	B.1.2	Older	North America		Reeb et al		State Hygienic Laboratory at the University of Iowa	State Hygienic Laboratory at the University of Iowa	
USA/LA-BIE-LSUH000853/2021	2021-01-22	1.00	20G	USA		Louisiana	20G	202103	MZ434727	Homo sapiens	0.50	B.1.2	Older	North America		Crabtree et al				
USA/PR-CDC-LC0001496/2020	2020-12-27	1.00	20G	USA		Puerto Rico	20G	202053	MW634710	Homo sapiens	0.46	B.1.2	Older	North America		Cook et al C				
USA/RI-CDC-2-3992962/2021	2021-02-25	2.00	20G	USA		Rhode Island	20G	202108	MW792796	Homo sapiens	0.50	B.1.2	Older	North America		Queen et al D				
USA/WV-CDC-LC0004188/2021	2021-01-02	1.00	20G	USA		West Virginia	20G	202053	MW638549	Homo sapiens	0.46	B.1.2	Older	North America		Cook et al D				
USA/ID-CDC-ASC210003828/2021	2021-03-10	2.00	20G	USA		Idaho	20G	202110	MW868693	Homo sapiens	0.46	B.1.2	Older	North America		Howard et al B				
USA/VI-CDC-2-3906154/2021	2021-01-27	1.00	20G	USA		Virgin Islands	20G	202104	MZ779605	Homo sapiens	0.48	B.1.2	Older	North America		Sheth et al A				
USA/NE-Noblis-S53B04/2020	2020-10-29	1.00	20G	USA		Nebraska	20G	202044	MZ325197	Homo sapiens	0.42	B.1.2	Older	North America		Brinkac et al			Noblis	
USA/MA-CDCBI-CRSP_T57B6AFHLYNQPBCJ/2021	2021-04-24	2.00	20G	USA		Massachusetts	20G	202116	MZ068833	Homo sapiens	0.31	B.1.2	Older	North America		Lemieux et al D		Broad Institute Clinical Research Sequencing Platform	Broad Institute Genomic Center for Infectious Diseases	
USA/MP-CDC-2-4084518/2021	2021-03-13	1.00	20G	USA		Northern Mariana Islands	20G	202110	MW887957	Homo sapiens	0.44	B.1.2	Older	North America		Sheth et al B				
USA/MP-CDC-2-4084429/2021	2021-03-14	1.00	20G	USA		Northern Mariana Islands	20G	202111	MW887955	Homo sapiens	0.44	B.1.2	Older	North America		Sheth et al C				
USA/MN-MDH-1917/2020	2020-10-16	1.00	20G	USA		Minnesota	20G	202042	MW202196	Homo sapiens	0.46	B.1.2	Older	North America		Plumb et al B				
USA/ND-CDC-2-4011891/2021	2021-02-01	2.00	20G	USA		North Dakota	20G	202105	MW792787	Homo sapiens	0.57	B.1.2	Older	North America		Queen et al E				
USA/MD-CDC-LC0000389/2020	2020-12-27	2.00	20G	USA		Maryland	20G	202053	MW634190	Homo sapiens	0.46	B.1.2	Older	North America		Cook et al E				
USA/VT-CDC-QDX21529982/2021	2021-01-26	1.00	20G	USA		Vermont	20G	202104	MW665681	Homo sapiens	0.48	B.1.2	Older	North America		Cook et al F				
NZL/20CV0674/2020	2020-12-19	1.00	20G	New Zealand		Canterbury	20G	202051	OK426764	Homo sapiens	0.43	B.1.2	Older	Oceania		Ren et al Z		Canterbury Health Laboratories	Institute of Environmental Science and Research	
USA/PA-CDC-2-4122310/2020	2020-12-28	2.00	20G	USA		Pennsylvania	20G	202053	MW550549	Homo sapiens	0.41	B.1.2	Older	North America		Queen et al F				
USA/SC-COVID21-1774/2021	2021-05-06	2.00	20G	USA		South Carolina	20G	202118	MZ351849	Homo sapiens	0.48	B.1.2	Older	North America		Freeman et al A				
LR877183	2020-04-26	2.00	20C	Sweden		Stockholm	20C	202018	LR877183	Homo sapiens	0.28	B.1	Older	Europe		Soratto A T et al		Karolinska University Hospital	KAROLINSKA INSITUTET	
LR877181	2020-04-26	2.00	20C	Sweden		Stockholm	20C	202018	LR877181	Homo sapiens	0.28	B.1	Older	Europe		Soratto A T et al		Karolinska University Hospital	KAROLINSKA INSITUTET	
DJI/NAMRU3_CL2/2020	2020-04-28	1.00	20C	Djibouti		Djibouti	20C	202018	MZ970747	Homo sapiens	0.28	B.1	Older	Africa		Arnold et al G				
DJI/NAMRU3_004/2020	2020-05-22	1.00	20C	Djibouti		Djibouti	20C	202021	OK018220	Homo sapiens	0.28	B.1	Older	Africa		Arnold et al H				
NZL/20CV0298/2020	2020-03-26	1.00	20C	New Zealand		South Canterbury	20C	202013	OK426610	Homo sapiens	0.34	B.1.369	Older	Oceania		Ren et al AA		Canterbury Health Laboratories	Institute of Environmental Science and Research	
USA/VT-CDC-2-4044707/2020	2020-12-23	2.00	20C	USA		Vermont	20C	202052	MW550480	Homo sapiens	0.35	B.1.564	Older	North America		Queen et al G				
NZL/20VR3099/2020	2020-04-15	1.00	20C	New Zealand		New Zealand	20C	202016	MZ332413	Homo sapiens	0.34	B.1.369	Older	Oceania		Geoghegan et al C			Institute of Environmental Science and Research	
NZL/20VR1937/2020	2020-04-01	1.00	20C	New Zealand		Southland	20C	202014	OK426554	Homo sapiens	0.34	B.1.369	Older	Oceania		Ren et al AB		Southern Community Labs Dunedin	Institute of Environmental Science and Research	
NZL/20VR2032/2020	2020-04-01	1.00	20C	New Zealand		Wellington	20C	202014	OK426706	Homo sapiens	0.34	B.1.369	Older	Oceania		Ren et al AC		Wellington SCL (WN)	Institute of Environmental Science and Research	
USA/ND-NDDH-0006/2020	2020-03-17	1.00	20C	USA		North Dakota	20C	202012	MW471387	Homo sapiens	0.31	B.1	Older	North America		Wingerter et al B				
NZL/20CV0311/2020	2020-04-01	1.00	20C	New Zealand		Hawkes Bay	20C	202014	OK426485	Homo sapiens	0.32	B.1.293	Older	Oceania		Ren et al AD		Canterbury Health Laboratories	Institute of Environmental Science and Research	
USA/CT-QDX-3400/2020	2020-10-30	4.00	20C	USA		Connecticut	20C	202044	MW522385	Homo sapiens	0.43	B.1.517	Older	North America		Rosenthal et al H				
USA/SV110BV1/2020	2020-05-27	2.00	20C	USA		Alabama	20C	202022	MT820132	Homo sapiens	0.34	B.1	Older	North America		Wood et al				
USA/DC-CDC-LC0047142/2021	2021-04-17	4.00	21F (Iota)	USA		Washington DC	21F (Iota)	202115	OK233906	Homo sapiens	0.76	B.1.526	Older	North America		Howard et al C				
USA/ND-CDC-IBX114689768074/2021	2021-04-17	4.00	21F (Iota)	USA		North Dakota	21F (Iota)	202115	OK220143	Homo sapiens	0.73	B.1.526	Older	North America		Howard et al D				
USA/OH-UHTL-938/2021	2021-05-21	4.00	21F (Iota)	USA		Ohio	21F (Iota)	202120	MZ312918	Homo sapiens	0.66	B.1.526	Older	North America		Sadri et al				
TUN/TUN_ADAGE_EZ432/2020	2020-05-30	2.00	20C	Tunisia		Tunisia	20C	202022	MT955169	Homo sapiens	0.31	B.1	Older	Africa		Souissi et al A				
USA/KS-CDC-2-4084835/2020	2020-11-30	3.00	20C	USA		Kansas	20C	202049	MW888081	Homo sapiens	0.40	B.1.599	Older	North America		Sheth et al D				
NZL/20VR3112/2020	2020-05-08	1.00	20C	New Zealand		New Zealand	20C	202019	MZ332415	Homo sapiens	0.31	B.1	Older	Oceania		Geoghegan et al D			Institute of Environmental Science and Research	
USA/RI-CDC-2-3714559/2020	2020-12-03	2.00	20C	USA		Rhode Island	20C	202049	MW496082	Homo sapiens	0.36	B.1.580	Older	North America		Queen et al H				
KEN/SS897/2020	2020-12-18	1.00	20C	Kenya		Kenya	20C	202051	OK017369	Homo sapiens	0.40	B.1	Older	Africa		Githinji et al A				
MAR/RMPS05/2020	2020-03-30	1.00	20C	Morocco		Morocco	20C	202014	MT731746	Homo sapiens	0.31	B.1	Older	Africa		Laamarti et al A				
USA/WV118939/2020	2020-04-10	1.00	20C	USA		West Virginia	20C	202015	MZ498107	Homo sapiens	0.31	B.1	Older	North America		Denvir et al A				
RUS/1054/2020	2020-03-18	1.00	20C	Russia		Moscow Oblast	20C	202012	MW332227	Homo sapiens	0.31	B.1	Older	Europe		Krasnov et al B				
OU072890	2020-04-21	1.00	20C	Germany		Bavaria	20C	202017	OU072890	Homo sapiens	0.31	B.1	Older	Europe		? B		Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL), Veterinärstraße 2; 85764 Oberschleißheim	Robert Koch Institute	
MAR/RMPS06/2020	2020-04-01	1.00	20C	Morocco		Morocco	20C	202014	MT731764	Homo sapiens	0.31	B.1	Older	Africa		Laamarti et al B				
COL/Cali-01/2020	2020-04-02	1.00	20C	Colombia		Colombia	20C	202014	MT470219	Homo sapiens	0.31	B.1	Older	South America		Lopez et al				
USA/WY-WYPHL-20007411/2020	2020-04-02	1.00	20C	USA		Wyoming	20C	202014	MT791312	Homo sapiens	0.31	B.1	Older	North America		Hull et al B		Wyoming Public Health Laboratory	Wyoming Public Health Laboratory	
USA/AL-QDX-3486/2020	2020-09-03	1.00	20C	USA		Alabama	20C	202036	MW521655	Homo sapiens	0.42	B.1.541	Older	North America		Rosenthal et al I				
USA/TN-CDC-4041716-001/2020	2020-11-15	1.00	20C	USA		Tennessee	20C	202047	MW863074	Homo sapiens	0.47	B.1.265	Older	North America		Tao et al B				
USA/MI-MDHHS-SC21503/2020	2020-04-01	1.00	20C	USA		Michigan	20C	202014	OL816835	Homo sapiens	0.31	B.1	One month ago	North America		Blankenship et al A				
LR963404	2020-04-01	2.00	20C	Zimbabwe		Zimbabwe	20C	202014	LR963404	Homo sapiens	0.31	B.1	Older	Africa		Alikhan et al A		National Microbiology Reference Laboratory	Quadram Institute Bioscience	
England/ALDP-CEBA89/2020	2020-12-20	1.00	20C	United Kingdom		England	20C	202052	OD920310	Homo sapiens	0.45	B.1.362.2	Older	Europe		Wynn et al A		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	
USA/RI-Broad_RIDOH-00063/2020	2020-12-02	3.00	20C	USA		Rhode Island	20C	202049	MW521633	Homo sapiens	0.39	B.1.375	Older	North America		Lemieux et al E		Rhode Island Department of Health	Broad Institute Genomic Center for Infectious Diseases	
USA/RI-CDC-2-4122319/2020	2020-12-21	2.00	20C	USA		Rhode Island	20C	202052	MW550612	Homo sapiens	0.40	B.1.375	Older	North America		Queen et al I				
Mexico/SEARCH-100615/2021	2021-02-24	3.00	21C (Epsilon)	Mexico		Baja California	21C (Epsilon)	202108	OK547423	Homo sapiens	0.57	B.1.427	Older	North America		Andersen et al A		SEARCH Alliance San Diego with Idanya Rubi Serafin Higuera, Manuel Sanchez Alavez, Jorge Luis Jimenez Niebla, German Ibarra, Jonathan Vincent Baena, Oscar Efren Zazueta Fierro with the help of Centro de Diagnostico COVID-19 UABC Tijuana	SEARCH Alliance San Diego	
